,facility_name,facility_address,rating
105,LOS PINITOS NUEVOS BAKERY,1154 S LORENA ST,
106,JAPAN HOUSE LA 2ND FLOOR,6801 HOLLYWOOD BLVD #213 -221,
107,SHAKE SHACK,6201 HOLLYWOOD BLVD,3.5
108,JOHNNY ROCKETS,6801 HOLLYWOOD BLVD STE 325,3.0
109,CIVIL COFFEE,5629 N FIGUEROA ST,4.0
110,MCDONALD'S # 10129,245 N SOTO ST,
111,BARNEY'S BEANERY,200 WORLD WAY # 240,
112,GREENLEAF CHOP SHOP,6201 HOLLYWOOD BLVD # 120,
113,ZANKOU CHICKEN,7851 W SUNSET BLVD,4.0
114,ADMIRALS CLUB,400 WORLD WAY,
115,JINYA RAMEN EXPRESS,6801 HOLLYWOOD BLVD # 315,3.5
116,JIM'S BURGERS,915 S SOTO ST,
117,CVS/PHARMACY #10614,800 S GRAND AVE,
118,AA REGIONAL ADMIRAL'S CLUB,6022 AVION DR,
120,L.A.A.C.-8TH FLOOR SNACK BAR,431 W 7TH ST,
121,DER WIENERSCHNITZEL #20,5215 N FIGUEROA ST,
122,STREET LEVEL CAFE,1166 GLENDALE BLVD,4.5
123,CAFE SOLAR,6224 W MANCHESTER AVE LOS,
124,DELICIAS BAKERY AND SOME,5567 N FIGUEROA ST,
125,TUTTI FRUTTI,312 E 11TH ST,
126,MELODY PIZZA,9146 S SEPULVEDA BLVD,4.0
127,SUBWAY #14183,508 W 7TH ST,
128,JACK IN THE BOX # 3348,1710 GLENDALE BLVD,3.0
129,AFTERS ICE CREAM,5711 N FIGUEROA ST,
130,ANTIGUA CULTURAL COFFEE,3400 N FIGUEROA ST,
131,TRASTEVERE RESTAURANT,6801 HOLLYWOOD BLVD STE 423,3.0
132,MARIE'S COFFEE AND DELI,731 W 7TH ST,
133,LA BARBACHA,2510 E CESAR E CHAVEZ AVE,4.5
134,THE HARVEST BAR 2,8601 LINCOLN BLVD STE 190,
135,KABAN PERSIAN RESTAURANT,3250 CAHUENGA BLVD W,4.5
136,WESTIN LAKEVIEW BISTRO,404 S FIGUEROA ST LBBY LOBBY,
137,ADMIRALS CLUB,500 WORLD WAY,
138,THE FAT DOG,801 N FAIRFAX AVE STE #107,
139,ANGELINI ALIMENTARI,7317 BEVERLY BLVD,4.5
140,CAFE SOLAR KITCHEN,6228 3/4 W MANCHESTER AVE,
141,CORAL FISH,6357 WILSHIRE BLVD,4.5
142,YANUSA SUSHI RESTAURANT,2740 W OLYMPIC BLVD,3.5
143,JOLLIBEE,2700 COLORADO BLVD STE 105,3.0
144,MALIBU FISH GRILL,8000 W SUNSET BLVD # A120,
145,THE VEGGIE GRILL,8000 W SUNSET BLVD # 112,
146,ASHLAND BAR EARTH BAR / PANDA EXPRESS ASHLAND HILL,300 WORLD WAY # 329,
147,CARL'S JR,308 WESTWOOD PLZ 505,
149,KIKKA SUSHI,308 WESTWOOD PLZ # A233B,3.0
150,PIZZA HUT #26158,4356 LEIMERT BLVD,
151,EL CONDOR,3701 W SUNSET BLVD,
152,MICROSOFT THEATER,777 W CHICK HEARN CT,
153,MILLI'S CAFE,3528 W SUNSET BLVD,
156,BEUL,3819 W 6TH ST,
157,HANNAM CHAIN SUPERMARKET,2740 W OLYMPIC BLVD,3.5
158,BORDER GRILL,380 WORLD WAY T38,
159,CLIFFS,3626 W SUNSET BLVD,
160,WH POKE BAR INC.,6215 TOPANGA CANYON BLVD,
